path,label,class,split
train/2_Pneumonia/Pneumonia-Bacterial (182).jpg,2,2_Pneumonia,train
train/2_Pneumonia/Pneumonia-Bacterial (703).jpg,2,2_Pneumonia,train
train/2_Pneumonia/Pneumonia-Bacterial (831).jpg,2,2_Pneumonia,train
train/2_Pneumonia/Pneumonia-Bacterial (559).jpg,2,2_Pneumonia,train
train/0_Normal/Normal (826).jpg,0,0_Normal,train
train/0_Normal/Normal (2494).jpg,0,0_Normal,train
validation/2_Pneumonia/Pneumonia-Viral (1215).jpg,2,2_Pneumonia,train
train/0_Normal/Normal (2572).jpg,0,0_Normal,train
train/1_Covid19/COVID-19 (904).jpg,1,1_Covid19,train
validation/2_Pneumonia/Pneumonia-Viral (1468).jpg,2,2_Pneumonia,train
train/2_Pneumonia/Pneumonia-Bacterial (329).jpg,2,2_Pneumonia,train
train/0_Normal/Normal (1844).jpg,0,0_Normal,train
train/1_Covid19/COVID-19 (1021).jpg,1,1_Covid19,train
validation/2_Pneumonia/Pneumonia-Viral (738).jpg,2,2_Pneumonia,train
train/0_Normal/Normal (1772).jpg,0,0_Normal,train
train/2_Pneumonia/Pneumonia-Viral (72).jpg,2,2_Pneumonia,train
train/2_Pneumonia/Pneumonia-Viral (491).jpg,2,2_Pneumonia,train
train/1_Covid19/COVID-19 (555).jpg,1,1_Covid19,train
train/1_Covid19/COVID-19 (471).jpg,1,1_Covid19,train
train/0_Normal/Normal (958).jpg,0,0_Normal,train
train/1_Covid19/COVID-19 (284).jpg,1,1_Covid19,train
validation/0_Normal/Normal (2799).jpg,0,0_Normal,train
train/1_Covid19/COVID-19 (850).jpg,1,1_Covid19,train
validation/0_Normal/Normal (2888).jpg,0,0_Normal,train
validation/2_Pneumonia/Pneumonia-Viral (1446).jpg,2,2_Pneumonia,train
train/1_Covid19/COVID-19 (941).jpg,1,1_Covid19,train
validation/0_Normal/Normal (2990).jpg,0,0_Normal,train
train/2_Pneumonia/Pneumonia-Bacterial (1817).jpg,2,2_Pneumonia,train
train/2_Pneumonia/Pneumonia-Bacterial (992).jpg,2,2_Pneumonia,train
train/0_Normal/Normal (1643).jpg,0,0_Normal,train
train/1_Covid19/COVID-19 (838).jpg,1,1_Covid19,train
train/2_Pneumonia/Pneumonia-Bacterial (2314).jpg,2,2_Pneumonia,train
train/0_Normal/Normal (672).jpg,0,0_Normal,train
train/2_Pneumonia/Pneumonia-Bacterial (1775).jpg,2,2_Pneumonia,train
validation/2_Pneumonia/Pneumonia-Viral (1498).jpg,2,2_Pneumonia,train
train/0_Normal/Normal (1698).jpg,0,0_Normal,train
train/0_Normal/Normal (1136).jpg,0,0_Normal,train
train/2_Pneumonia/Pneumonia-Bacterial (2248).jpg,2,2_Pneumonia,train
train/2_Pneumonia/Pneumonia-Bacterial (1777).jpg,2,2_Pneumonia,train
train/2_Pneumonia/Pneumonia-Bacterial (56).jpg,2,2_Pneumonia,train
validation/2_Pneumonia/Pneumonia-Viral (974).jpg,2,2_Pneumonia,train
train/0_Normal/Normal (2080).jpg,0,0_Normal,train
validation/2_Pneumonia/Pneumonia-Viral (804).jpg,2,2_Pneumonia,train
train/1_Covid19/COVID-19 (58).jpg,1,1_Covid19,train
train/2_Pneumonia/Pneumonia-Viral (126).jpg,2,2_Pneumonia,train
train/2_Pneumonia/Pneumonia-Bacterial (228).jpg,2,2_Pneumonia,train
train/2_Pneumonia/Pneumonia-Bacterial (1618).jpg,2,2_Pneumonia,train
train/2_Pneumonia/Pneumonia-Bacterial (2431).jpg,2,2_Pneumonia,train
train/2_Pneumonia/Pneumonia-Viral (28).jpg,2,2_Pneumonia,train
train/2_Pneumonia/Pneumonia-Bacterial (1510).jpg,2,2_Pneumonia,train
train/0_Normal/Normal (2428).jpg,0,0_Normal,train
validation/0_Normal/Normal (2743).jpg,0,0_Normal,train
train/2_Pneumonia/Pneumonia-Bacterial (999).jpg,2,2_Pneumonia,train
validation/0_Normal/Normal (2634).jpg,0,0_Normal,train
train/2_Pneumonia/Pneumonia-Bacterial (308).jpg,2,2_Pneumonia,train
validation/0_Normal/Normal (2889).jpg,0,0_Normal,train
train/2_Pneumonia/Pneumonia-Bacterial (1235).jpg,2,2_Pneumonia,train
train/2_Pneumonia/Pneumonia-Bacterial (1215).jpg,2,2_Pneumonia,train
validation/0_Normal/Normal (2804).jpg,0,0_Normal,train
train/2_Pneumonia/Pneumonia-Bacterial (1872).jpg,2,2_Pneumonia,train
train/0_Normal/Normal (828).jpg,0,0_Normal,train
train/0_Normal/Normal (517).jpg,0,0_Normal,train
validation/1_Covid19/COVID-19 (1269).jpg,1,1_Covid19,train
validation/0_Normal/Normal (3094).jpg,0,0_Normal,train
validation/1_Covid19/COVID-19 (1134).jpg,1,1_Covid19,train
train/1_Covid19/COVID-19 (863).jpg,1,1_Covid19,train
validation/2_Pneumonia/Pneumonia-Viral (853).jpg,2,2_Pneumonia,train
validation/1_Covid19/COVID-19 (1203).jpg,1,1_Covid19,train
train/0_Normal/Normal (1933).jpg,0,0_Normal,train
train/2_Pneumonia/Pneumonia-Bacterial (983).jpg,2,2_Pneumonia,train
train/0_Normal/Normal (1006).jpg,0,0_Normal,train
train/2_Pneumonia/Pneumonia-Bacterial (1441).jpg,2,2_Pneumonia,train
train/1_Covid19/COVID-19 (65).jpg,1,1_Covid19,train
validation/0_Normal/Normal (2837).jpg,0,0_Normal,train
train/2_Pneumonia/Pneumonia-Bacterial (1354).jpg,2,2_Pneumonia,train
validation/2_Pneumonia/Pneumonia-Viral (1231).jpg,2,2_Pneumonia,train
validation/0_Normal/Normal (3037).jpg,0,0_Normal,train
train/2_Pneumonia/Pneumonia-Bacterial (2622).jpg,2,2_Pneumonia,train
validation/2_Pneumonia/Pneumonia-Viral (1316).jpg,2,2_Pneumonia,train
validation/2_Pneumonia/Pneumonia-Viral (1645).jpg,2,2_Pneumonia,train
validation/0_Normal/Normal (2821).jpg,0,0_Normal,train
validation/0_Normal/Normal (3191).jpg,0,0_Normal,train
train/2_Pneumonia/Pneumonia-Bacterial (2841).jpg,2,2_Pneumonia,train
train/0_Normal/Normal (243).jpg,0,0_Normal,train
train/2_Pneumonia/Pneumonia-Viral (19).jpg,2,2_Pneumonia,train
train/2_Pneumonia/Pneumonia-Bacterial (1057).jpg,2,2_Pneumonia,train
validation/1_Covid19/COVID-19 (1192).jpg,1,1_Covid19,train
train/2_Pneumonia/Pneumonia-Bacterial (980).jpg,2,2_Pneumonia,train
train/0_Normal/Normal (695).jpg,0,0_Normal,train
train/1_Covid19/COVID-19 (236).jpg,1,1_Covid19,train
train/0_Normal/Normal (1533).jpg,0,0_Normal,train
validation/0_Normal/Normal (2943).jpg,0,0_Normal,train
train/0_Normal/Normal (1914).jpg,0,0_Normal,train
train/1_Covid19/COVID-19 (987).jpg,1,1_Covid19,train
train/1_Covid19/COVID-19 (368).jpg,1,1_Covid19,train
train/2_Pneumonia/Pneumonia-Viral (366).jpg,2,2_Pneumonia,train
train/2_Pneumonia/Pneumonia-Bacterial (1164).jpg,2,2_Pneumonia,train
validation/1_Covid19/COVID-19 (1141).jpg,1,1_Covid19,train
train/2_Pneumonia/Pneumonia-Bacterial (1973).jpg,2,2_Pneumonia,train
validation/1_Covid19/COVID-19 (1188).jpg,1,1_Covid19,train
train/0_Normal/Normal (2594).jpg,0,0_Normal,train
validation/2_Pneumonia/Pneumonia-Viral (1376).jpg,2,2_Pneumonia,train
validation/1_Covid19/COVID-19 (1110).jpg,1,1_Covid19,train
validation/2_Pneumonia/Pneumonia-Viral (1199).jpg,2,2_Pneumonia,train
train/0_Normal/Normal (2526).jpg,0,0_Normal,train
train/0_Normal/Normal (1996).jpg,0,0_Normal,train
train/0_Normal/Normal (2401).jpg,0,0_Normal,train
validation/2_Pneumonia/Pneumonia-Viral (1002).jpg,2,2_Pneumonia,train
train/2_Pneumonia/Pneumonia-Bacterial (2044).jpg,2,2_Pneumonia,train
train/0_Normal/Normal (586).jpg,0,0_Normal,train
train/1_Covid19/COVID-19 (41).jpg,1,1_Covid19,train
train/0_Normal/Normal (639).jpg,0,0_Normal,train
train/2_Pneumonia/Pneumonia-Bacterial (1896).jpg,2,2_Pneumonia,train
train/2_Pneumonia/Pneumonia-Bacterial (345).jpg,2,2_Pneumonia,train
train/2_Pneumonia/Pneumonia-Bacterial (969).jpg,2,2_Pneumonia,train
validation/2_Pneumonia/Pneumonia-Viral (1531).jpg,2,2_Pneumonia,train
train/0_Normal/Normal (2084).jpg,0,0_Normal,train
train/0_Normal/Normal (1594).jpg,0,0_Normal,train
train/1_Covid19/COVID-19 (683).jpg,1,1_Covid19,train
train/0_Normal/Normal (1208).jpg,0,0_Normal,train
validation/0_Normal/Normal (2922).jpg,0,0_Normal,train
validation/2_Pneumonia/Pneumonia-Viral (964).jpg,2,2_Pneumonia,train
train/2_Pneumonia/Pneumonia-Bacterial (2216).jpg,2,2_Pneumonia,train
train/0_Normal/Normal (1789).jpg,0,0_Normal,train
train/0_Normal/Normal (466).jpg,0,0_Normal,train
train/0_Normal/Normal (1324).jpg,0,0_Normal,train
validation/2_Pneumonia/Pneumonia-Viral (1506).jpg,2,2_Pneumonia,train
train/0_Normal/Normal (2140).jpg,0,0_Normal,train
train/2_Pneumonia/Pneumonia-Viral (468).jpg,2,2_Pneumonia,train
train/0_Normal/Normal (191).jpg,0,0_Normal,train
train/2_Pneumonia/Pneumonia-Bacterial (2802).jpg,2,2_Pneumonia,train
train/2_Pneumonia/Pneumonia-Bacterial (2984).jpg,2,2_Pneumonia,train
train/0_Normal/Normal (139).jpg,0,0_Normal,train
train/2_Pneumonia/Pneumonia-Bacterial (1912).jpg,2,2_Pneumonia,train
train/0_Normal/Normal (473).jpg,0,0_Normal,train
validation/2_Pneumonia/Pneumonia-Viral (764).jpg,2,2_Pneumonia,train
train/2_Pneumonia/Pneumonia-Bacterial (1115).jpg,2,2_Pneumonia,train
train/0_Normal/Normal (438).jpg,0,0_Normal,train
train/2_Pneumonia/Pneumonia-Bacterial (2078).jpg,2,2_Pneumonia,train
train/2_Pneumonia/Pneumonia-Bacterial (2195).jpg,2,2_Pneumonia,train
train/2_Pneumonia/Pneumonia-Viral (35).jpg,2,2_Pneumonia,train
train/2_Pneumonia/Pneumonia-Viral (146).jpg,2,2_Pneumonia,train
train/1_Covid19/COVID-19 (208).jpg,1,1_Covid19,train
train/2_Pneumonia/Pneumonia-Bacterial (1716).jpg,2,2_Pneumonia,train
validation/2_Pneumonia/Pneumonia-Viral (1194).jpg,2,2_Pneumonia,train
train/2_Pneumonia/Pneumonia-Bacterial (1009).jpg,2,2_Pneumonia,train
train/2_Pneumonia/Pneumonia-Bacterial (1559).jpg,2,2_Pneumonia,train
validation/0_Normal/Normal (2792).jpg,0,0_Normal,train
train/2_Pneumonia/Pneumonia-Bacterial (2242).jpg,2,2_Pneumonia,train
validation/2_Pneumonia/Pneumonia-Viral (1355).jpg,2,2_Pneumonia,train
validation/0_Normal/Normal (2647).jpg,0,0_Normal,train
train/0_Normal/Normal (88).jpg,0,0_Normal,train
train/0_Normal/Normal (2484).jpg,0,0_Normal,train
train/0_Normal/Normal (1417).jpg,0,0_Normal,train
train/2_Pneumonia/Pneumonia-Bacterial (1978).jpg,2,2_Pneumonia,train
validation/0_Normal/Normal (3135).jpg,0,0_Normal,train
validation/0_Normal/Normal (3160).jpg,0,0_Normal,train
train/2_Pneumonia/Pneumonia-Viral (582).jpg,2,2_Pneumonia,train
validation/2_Pneumonia/Pneumonia-Viral (1112).jpg,2,2_Pneumonia,train
train/0_Normal/Normal (21).jpg,0,0_Normal,train
train/1_Covid19/COVID-19 (707).jpg,1,1_Covid19,train
train/2_Pneumonia/Pneumonia-Bacterial (250).jpg,2,2_Pneumonia,train
train/0_Normal/Normal (536).jpg,0,0_Normal,train
train/2_Pneumonia/Pneumonia-Bacterial (1167).jpg,2,2_Pneumonia,train
train/0_Normal/Normal (162).jpg,0,0_Normal,train
train/2_Pneumonia/Pneumonia-Bacterial (2167).jpg,2,2_Pneumonia,train
train/2_Pneumonia/Pneumonia-Viral (31).jpg,2,2_Pneumonia,train
train/0_Normal/Normal (726).jpg,0,0_Normal,train
validation/2_Pneumonia/Pneumonia-Viral (1589).jpg,2,2_Pneumonia,train
train/0_Normal/Normal (2209).jpg,0,0_Normal,train
train/0_Normal/Normal (1474).jpg,0,0_Normal,train
train/0_Normal/Normal (2549).jpg,0,0_Normal,train
train/0_Normal/Normal (2189).jpg,0,0_Normal,train
validation/2_Pneumonia/Pneumonia-Viral (1225) (1).jpg,2,2_Pneumonia,train
train/2_Pneumonia/Pneumonia-Bacterial (2245).jpg,2,2_Pneumonia,train
train/0_Normal/Normal (1530).jpg,0,0_Normal,train
train/2_Pneumonia/Pneumonia-Bacterial (372).jpg,2,2_Pneumonia,train
train/2_Pneumonia/Pneumonia-Bacterial (2744).jpg,2,2_Pneumonia,train
validation/0_Normal/Normal (3199).jpg,0,0_Normal,train
train/0_Normal/Normal (274).jpg,0,0_Normal,train
train/2_Pneumonia/Pneumonia-Bacterial (1124).jpg,2,2_Pneumonia,train
train/2_Pneumonia/Pneumonia-Bacterial (1634).jpg,2,2_Pneumonia,train
train/0_Normal/Normal (871).jpg,0,0_Normal,train
train/0_Normal/Normal (1057).jpg,0,0_Normal,train
train/0_Normal/Normal (462).jpg,0,0_Normal,train
train/0_Normal/Normal (2233).jpg,0,0_Normal,train
train/2_Pneumonia/Pneumonia-Bacterial (2456).jpg,2,2_Pneumonia,train
validation/1_Covid19/COVID-19 (1049).jpg,1,1_Covid19,train
validation/0_Normal/Normal (2916).jpg,0,0_Normal,train
validation/0_Normal/Normal (2761).jpg,0,0_Normal,train
validation/2_Pneumonia/Pneumonia-Viral (1461).jpg,2,2_Pneumonia,train
train/2_Pneumonia/Pneumonia-Bacterial (1733).jpg,2,2_Pneumonia,train
train/2_Pneumonia/Pneumonia-Viral (259).jpg,2,2_Pneumonia,train
train/0_Normal/Normal (2073).jpg,0,0_Normal,train
train/1_Covid19/COVID-19 (804).jpg,1,1_Covid19,train
train/2_Pneumonia/Pneumonia-Viral (568).jpg,2,2_Pneumonia,train
train/2_Pneumonia/Pneumonia-Bacterial (279).jpg,2,2_Pneumonia,train
validation/0_Normal/Normal (2712).jpg,0,0_Normal,train
validation/0_Normal/Normal (3070).jpg,0,0_Normal,train
train/2_Pneumonia/Pneumonia-Bacterial (1858).jpg,2,2_Pneumonia,train
train/2_Pneumonia/Pneumonia-Bacterial (2371).jpg,2,2_Pneumonia,train
train/0_Normal/Normal (1072).jpg,0,0_Normal,train
train/2_Pneumonia/Pneumonia-Bacterial (1604).jpg,2,2_Pneumonia,train
train/0_Normal/Normal (2157).jpg,0,0_Normal,train
train/2_Pneumonia/Pneumonia-Viral (266).jpg,2,2_Pneumonia,train
train/2_Pneumonia/Pneumonia-Bacterial (232).jpg,2,2_Pneumonia,train
validation/0_Normal/Normal (2881).jpg,0,0_Normal,train
train/0_Normal/Normal (2440).jpg,0,0_Normal,train
train/2_Pneumonia/Pneumonia-Bacterial (1507).jpg,2,2_Pneumonia,train
validation/0_Normal/Normal (2700).jpg,0,0_Normal,train
validation/2_Pneumonia/Pneumonia-Viral (1049).jpg,2,2_Pneumonia,train
validation/1_Covid19/COVID-19 (1247).jpg,1,1_Covid19,train
train/2_Pneumonia/Pneumonia-Viral (280).jpg,2,2_Pneumonia,train
train/2_Pneumonia/Pneumonia-Viral (364).jpg,2,2_Pneumonia,train
train/0_Normal/Normal (1734).jpg,0,0_Normal,train
train/1_Covid19/COVID-19 (700).jpg,1,1_Covid19,train
validation/2_Pneumonia/Pneumonia-Viral (762).jpg,2,2_Pneumonia,train
train/2_Pneumonia/Pneumonia-Bacterial (1845).jpg,2,2_Pneumonia,train
train/0_Normal/Normal (1105).jpg,0,0_Normal,train
train/2_Pneumonia/Pneumonia-Bacterial (118).jpg,2,2_Pneumonia,train
train/1_Covid19/COVID-19 (400).jpg,1,1_Covid19,train
train/2_Pneumonia/Pneumonia-Bacterial (1017).jpg,2,2_Pneumonia,train
train/2_Pneumonia/Pneumonia-Bacterial (2798).jpg,2,2_Pneumonia,train
train/2_Pneumonia/Pneumonia-Bacterial (2726).jpg,2,2_Pneumonia,train
validation/1_Covid19/COVID-19 (1179).jpg,1,1_Covid19,train
train/1_Covid19/COVID-19 (444).jpg,1,1_Covid19,train
train/0_Normal/Normal (518).jpg,0,0_Normal,train
train/0_Normal/Normal (2255).jpg,0,0_Normal,train
train/1_Covid19/COVID-19 (518).jpg,1,1_Covid19,train
validation/2_Pneumonia/Pneumonia-Viral (1281).jpg,2,2_Pneumonia,train
train/2_Pneumonia/Pneumonia-Viral (442).jpg,2,2_Pneumonia,train
validation/2_Pneumonia/Pneumonia-Viral (1547).jpg,2,2_Pneumonia,train
train/2_Pneumonia/Pneumonia-Bacterial (807).jpg,2,2_Pneumonia,train
train/0_Normal/Normal (698).jpg,0,0_Normal,train
validation/2_Pneumonia/Pneumonia-Viral (1334).jpg,2,2_Pneumonia,train
train/0_Normal/Normal (623).jpg,0,0_Normal,train
train/2_Pneumonia/Pneumonia-Bacterial (866).jpg,2,2_Pneumonia,train
train/0_Normal/Normal (436).jpg,0,0_Normal,train
train/2_Pneumonia/Pneumonia-Bacterial (2441).jpg,2,2_Pneumonia,train
train/2_Pneumonia/Pneumonia-Bacterial (1056).jpg,2,2_Pneumonia,train
validation/1_Covid19/COVID-19 (1220).jpg,1,1_Covid19,train
train/1_Covid19/COVID-19 (602).jpg,1,1_Covid19,train
train/2_Pneumonia/Pneumonia-Bacterial (506).jpg,2,2_Pneumonia,train
validation/2_Pneumonia/Pneumonia-Viral (726).jpg,2,2_Pneumonia,train
train/1_Covid19/COVID-19 (158).jpg,1,1_Covid19,train
train/2_Pneumonia/Pneumonia-Bacterial (563).jpg,2,2_Pneumonia,train
validation/0_Normal/Normal (3096).jpg,0,0_Normal,train
validation/2_Pneumonia/Pneumonia-Viral (1018).jpg,2,2_Pneumonia,train
train/0_Normal/Normal (718).jpg,0,0_Normal,train
train/2_Pneumonia/Pneumonia-Bacterial (752).jpg,2,2_Pneumonia,train
validation/0_Normal/Normal (2756).jpg,0,0_Normal,train
train/0_Normal/Normal (994).jpg,0,0_Normal,train
validation/0_Normal/Normal (3132).jpg,0,0_Normal,train
train/2_Pneumonia/Pneumonia-Bacterial (922).jpg,2,2_Pneumonia,train
validation/0_Normal/Normal (3147).jpg,0,0_Normal,train
validation/0_Normal/Normal (3190).jpg,0,0_Normal,train
train/2_Pneumonia/Pneumonia-Bacterial (2328).jpg,2,2_Pneumonia,train
train/0_Normal/Normal (766).jpg,0,0_Normal,train
train/2_Pneumonia/Pneumonia-Bacterial (2002).jpg,2,2_Pneumonia,train
train/0_Normal/Normal (1456).jpg,0,0_Normal,train
train/0_Normal/Normal (1184).jpg,0,0_Normal,train
train/2_Pneumonia/Pneumonia-Bacterial (694).jpg,2,2_Pneumonia,train
validation/2_Pneumonia/Pneumonia-Viral (972).jpg,2,2_Pneumonia,train
train/2_Pneumonia/Pneumonia-Viral (98).jpg,2,2_Pneumonia,train
train/2_Pneumonia/Pneumonia-Bacterial (876).jpg,2,2_Pneumonia,train
train/2_Pneumonia/Pneumonia-Bacterial (1477).jpg,2,2_Pneumonia,train
train/2_Pneumonia/Pneumonia-Bacterial (63).jpg,2,2_Pneumonia,train
train/0_Normal/Normal (2483).jpg,0,0_Normal,train
train/1_Covid19/COVID-19 (645).jpg,1,1_Covid19,train
train/1_Covid19/COVID-19 (897).jpg,1,1_Covid19,train
train/1_Covid19/COVID-19 (998).jpg,1,1_Covid19,train
train/2_Pneumonia/Pneumonia-Viral (215).jpg,2,2_Pneumonia,train
validation/2_Pneumonia/Pneumonia-Viral (1484).jpg,2,2_Pneumonia,train
train/2_Pneumonia/Pneumonia-Viral (119).jpg,2,2_Pneumonia,train
train/1_Covid19/COVID-19 (261).jpg,1,1_Covid19,train
validation/2_Pneumonia/Pneumonia-Viral (1218).jpg,2,2_Pneumonia,train
train/1_Covid19/COVID-19 (692).jpg,1,1_Covid19,train
train/2_Pneumonia/Pneumonia-Bacterial (1975).jpg,2,2_Pneumonia,train
validation/2_Pneumonia/Pneumonia-Viral (755).jpg,2,2_Pneumonia,train
train/1_Covid19/COVID-19 (292).jpg,1,1_Covid19,train
validation/0_Normal/Normal (2858).jpg,0,0_Normal,train
train/0_Normal/Normal (2380).jpg,0,0_Normal,train
validation/2_Pneumonia/Pneumonia-Viral (959).jpg,2,2_Pneumonia,train
train/0_Normal/Normal (367).jpg,0,0_Normal,train
validation/2_Pneumonia/Pneumonia-Viral (1004).jpg,2,2_Pneumonia,train
train/0_Normal/Normal (16).jpg,0,0_Normal,train
train/1_Covid19/COVID-19 (917).jpg,1,1_Covid19,train
train/2_Pneumonia/Pneumonia-Bacterial (2851).jpg,2,2_Pneumonia,train
validation/2_Pneumonia/Pneumonia-Viral (893).jpg,2,2_Pneumonia,train
train/2_Pneumonia/Pneumonia-Bacterial (2532).jpg,2,2_Pneumonia,train
train/1_Covid19/COVID-19 (330).jpg,1,1_Covid19,train
validation/2_Pneumonia/Pneumonia-Viral (1618).jpg,2,2_Pneumonia,train
train/0_Normal/Normal (2521).jpg,0,0_Normal,train
validation/1_Covid19/COVID-19 (1095).jpg,1,1_Covid19,train
validation/2_Pneumonia/Pneumonia-Viral (1635).jpg,2,2_Pneumonia,train
validation/1_Covid19/COVID-19 (1268).jpg,1,1_Covid19,train
train/0_Normal/Normal (106).jpg,0,0_Normal,train
train/1_Covid19/COVID-19 (157).jpg,1,1_Covid19,train
train/2_Pneumonia/Pneumonia-Bacterial (188).jpg,2,2_Pneumonia,train
train/2_Pneumonia/Pneumonia-Bacterial (1681).jpg,2,2_Pneumonia,train
train/2_Pneumonia/Pneumonia-Bacterial (1885).jpg,2,2_Pneumonia,train
train/2_Pneumonia/Pneumonia-Bacterial (2932).jpg,2,2_Pneumonia,train
train/0_Normal/Normal (921).jpg,0,0_Normal,train
train/2_Pneumonia/Pneumonia-Bacterial (1062).jpg,2,2_Pneumonia,train
train/2_Pneumonia/Pneumonia-Bacterial (995).jpg,2,2_Pneumonia,train
train/1_Covid19/COVID-19 (340).jpg,1,1_Covid19,train
train/2_Pneumonia/Pneumonia-Bacterial (1470).jpg,2,2_Pneumonia,train
